AERO KIT,,,,,,,,,,
,13,ARMABZA250S-A,W177 A250 A35 /CLA 250 CLA35 C118/ GLB35 X247 (M260) carbon fiber intake (aluminum base + carbon fiber cover),"US$1,078 ",US$755 ,US$701 ,US$647 ,US$593 ,,
,14,ARMABZM264-A,W205/W213 C300 (M264) carbon fiber intake ,US$748 ,US$524 ,US$486 ,US$449 ,US$411 ,,
,15,ARMABZE53S-A,W213 E53 (M256) carbon fiber intake ,"US$2,090 ","US$1,463 ","US$1,359 ","US$1,254 ","US$1,150 ",,
,16,ARMACLSE53-A,C257 CLS 53 carbon fiber intake ,"US$2,090 ","US$1,463 ","US$1,359 ","US$1,254 ","US$1,150 ",,
,17,ARMABZGT53-A,Benz X290 GT 53 (M256) Carbon Fiber Cold Air Intake ,"US$2,090 ","US$1,463 ","US$1,359 ","US$1,254 ","US$1,150 ",,
,18,ARMABZGL63-A,W166 GLE63 (M157) coupe carbon fiber intake,"US$2,860 ","US$2,002 ","US$1,859 ","US$1,716 ","US$1,573 ",,
,19,ARMAW2E63S-A,Benz W213 E63/ GT63S Carbon Fiber Cold Air Intake ,"US$2,860 ","US$2,002 ","US$1,859 ","US$1,716 ","US$1,573 ",,
,20,ARMABZS63S-A,Benz Benz W222 S63 Carbon Fiber Cold Air Intake ,"US$2,860 ","US$2,002 ","US$1,859 ","US$1,716 ","US$1,573 ",,
,21,ARMABZA450S-A,BENZ W177 A45S / CLA45S C118 Carbon Cold Air Intake,US$715 ,US$501 ,US$465 ,US$429 ,US$393 ,,
,22,ARMABZA450S-S,BENZ W177 A45s / CLA45S C118 Forged Carbon Cold Air Intake,US$858 ,US$601 ,US$558 ,US$515 ,US$472 ,,
,23,ARMABZGL53-A,Benz W167 GLE 53 / C167 (M256)  Carbon Fiber Cold Air Intake ,"US$2,090 ","US$1,463 ","US$1,359 ","US$1,254 ","US$1,150 ",,
,24,ARMABZ0630-A,BENZ W206 C300 (M254) Carbon Fiber Cold Air Intake,US$970 ,US$679 ,US$631 ,US$582 ,US$534 ,,
,24,ARMABZ0630-R,BENZ W206 C300 (M254) Carbon Fiber Cold Air Intake Black/Red,US$970 ,US$679 ,US$631 ,US$582 ,US$534 ,,
,25,ARMABZC63S-A,W205 C63S carbon fiber airbox,"US$1,995 ","US$1,397 ","US$1,297 ","US$1,197 ","US$1,097 ",,
,25-1,ARMABZC63S-B,"W205 C63S carbon fiber airbox RACE version 
(with rubber frame)","US$1,480 ","US$1,036 ",US$962 ,US$888 ,US$814 ,,
,26,ARMABZ0643-A,W206 C43 (M139) Carbon Fiber Cold Air Intake ,US$890 ,US$623 ,US$579 ,US$534 ,US$490 ,,
,27,ARMABZ0643-2,W206 C43 (M139) Carbon Fiber Radiator Cooling Slam Panel Cover ,US$300 ,US$210 ,US$195 ,US$180 ,US$165 ,,
NISSAN,,,,,,,,,,
,1,ARMANS400Z-L/R,Nissan Z Carbon Fiber Cold Air Intake,US$780 ,US$546 ,US$507 ,US$468 ,US$429 ,,
PORSCHE,,,,,,,,,,
,1,ARMAPANA36-A,Panamera 3.6 V6 (NA) carbon fiber airbox,"US$1,672 ","US$1,170 ","US$1,087 ","US$1,003 ",US$920 ,,
,2,ARMAPSPANA-A,Panamera 4.8 V8 carbon fiber airbox,"US$1,672 ","US$1,170 ","US$1,087 ","US$1,003 ",US$920 ,,
,3,ARMAMACA20-A,Macan 2.0 T carbon fiber airbox,"US$1,155 ",US$809 ,US$751 ,US$693 ,US$635 ,,
,4,ARMAMACA30-A,Macan 3.0 T / 3.6T carbon fiber airbox,"US$1,536 ","US$1,075 ",US$998 ,US$922 ,US$845 ,,
,5,ARMAPORS997-A,997.2 GT3 carbon fiber airbox,"US$2,200 ","US$1,540 ","US$1,430 ","US$1,320 ","US$1,210 ",,
,6,ARMAPORS991-A,991 GT3 carbon fiber airbox,"US$2,200 ","US$1,540 ","US$1,430 ","US$1,320 ","US$1,210 ",,
,7,ARMAPS991RS-A,991 GT3 RS carbon fiber airbox,"US$2,200 ","US$1,540 ","US$1,430 ","US$1,320 ","US$1,210 ",,
,8,ARMACAYEE3-A,"Porsche Cayenne / Cayenne Couple 
Cayenne / Cayenne
Couple E-hybrid 
Cayenne / Cayenne Couple вс E3 carbon fiber intake","US$1,342 ",US$939 ,US$872 ,US$805 ,US$738 ,,
SKODA,,,,,,,,,,
,1,ARMASKSC10-A,Scala 1.0T carbon fiber intake (aluminum base+carbon fiber cover),US$550 ,US$385 ,US$358 ,US$330 ,US$303 ,,
,2,ARMASKSC15-A,Scala 1.5T carbon fiber intake (aluminum base+carbon fiber cover),US$550 ,US$385 ,US$358 ,US$330 ,US$303 ,,
SUBARU,,,,,,,,,,
,1,ARMASBGR86-R,Subaru BRZ ZN8-FA24 Carbon Fiber Cold Air Intake black/red,US$680 ,US$476 ,US$442 ,US$408 ,US$374 ,,
,2,ARMASBGR86-A,Subaru BRZ ZN8-FA24 Carbon Fiber Cold Air Intake black,US$580 ,US$406 ,US$377 ,US$348 ,US$319 ,,
TOYOTA,,,,,,,,,,
,1,ARMATYFT86-A,FT-86 carbon fiber air box,US$935 ,US$655 ,US$608 ,US$561 ,US$514 ,,
,2,ARMATYYAGR-A,"TOYOTA YARIS GR / TOYOTA GR Corolla 
Carbon Fiber cold air intake",US$780 ,US$546 ,US$507 ,US$468 ,US$429 ,,
,3,ARMASBGR86-R,TOYOTA GR86 Carbon Fiber Cold Air Intake- black/red,US$680 ,US$476 ,US$442 ,US$408 ,US$374 ,,
,4,ARMASBGR86-A,TOYOTA GR86 Carbon Fiber Cold Air Intake- black,US$580 ,US$406 ,US$377 ,US$348 ,US$319 ,,
VOLKSWAGEN,,,,,,,,,,
,1,ARMAGOLF6G-B ,"GOLF 6 1.4 / 
Sirocco 1.4 / twin-turbo carbon fiber airbox ",US$803 ,US$562 ,US$522 ,US$482 ,US$442 ,,
,2,ARMAGOLF6R-A,"GOLF 6 R   / 
Scirocco R / carbon fiber airbox",US$930 ,US$651 ,US$605 ,US$558 ,US$512 ,,
,3,ARMAGOLF71-A,GOLF 7 1.2 /1.4/ Skoda Octavia 1.4 carbon fiber airbox ,US$858 ,US$601 ,US$558 ,US$515 ,US$472 ,,
,4,ARMAGOLF7G-A,GOLF 7 GTI / GOLF 7 R / Seat Leon Cupra / Passat380/Skoda Octavia 5E 2.0     (EA888) carbon fiber airbox,"US$1,089 ",US$762 ,US$708 ,US$653 ,US$599 ,,
,5,ARMAVWTG14-A,Tiguan (1st Gen) 1.4 carbon fiber airbox ,US$803 ,US$562 ,US$522 ,US$482 ,US$442 ,,
,6,ARMAVWTG20-A,Tiguan (1st Gen) 2.0 carbon fiber airbox ,US$803 ,US$562 ,US$522 ,US$482 ,US$442 ,,
,7,ARMAVWTG30-A,VW Tiguan 330 carbon fiber airbox/induct/engine cover/oem air filter,US$935 ,US$655 ,US$608 ,US$561 ,US$514 ,,
,8,ARMAGOLF8G-B,VW GOLF 8 GTI Carbon Fiber Cold Air Intake (intake + front induction) ,US$780 ,US$546 ,US$507 ,US$468 ,US$429 ,,
,9,ARMAGOLF8G-A,VW GOLF 8 GTI Carbon Fiber Cold Air Intake w/o Front induction,US$490 ,US$343 ,US$319 ,US$294 ,US$270 ,,
,10,ARMAGOLF8G-C,VW GOLF 8 GTI Carbon Fiber Cold Air Intake w/o Front induction (Black),US$400 ,US$280 ,US$260 ,US$240 ,US$220 ,,
,11,1CCVW08F04--,VW GOLF 8 GTI  Carbon Fiber engine cover ,US$460 ,US$322 ,US$299 ,US$276 ,US$253 ,,
,12,1CCVW08F04-R ,VW GOLF 8 GTI  Carbon Fiber engine cover - red,US$560 ,US$392 ,US$364 ,US$336 ,US$308 ,,
,13,CS-AR60021-A,VW GOLF 8 GTI turbo inlet ,US$116 ,US$81 ,US$75 ,US$70 ,US$64 ,,
ACCESSORIES,,,,,,,,,,
New,No.,Part#,Description,MSRP,"Tier1
35% off     10 Set","Tier 2
40% off   11-30 Set","Tier 3
45% off     31-50 Set","Tier 4
50% 51 Set up",,
,,AUDI,,,,,,,,
