reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
VSMB0-C1AA3;630;840;840;756;1008;;;0,15
GSM68-91AS2;427,5;570;570;513;684;;;0,15
GSM94-91AS2;427,5;570;570;513;684;;;0,15
GSM98-91AS3;480;640;640;576;768;;;0,15
GSMA8-91AS3;450;600;600;540;720;;;0,15
VSMA8-C1AS3;615;820;820;738;984;;;0,15
SKMA8-G1B00;112;160;160;134,4;192;;;0,2
VSMC4-C1AS3;615;820;820;738;984;;;0,15
GSMB2-91AS3;450;600;600;540;720;;;0,15
VSMC2-C1AS3;615;820;820;738;984;;;0,15
SKMC2-G1B00;105;150;150;126;180;;;0,2
SKM90-S5B00;140;200;200;168;240;;;0,2
SKM66-AUB00;98;140;140;117,6;168;;;0,2
SKM66-S3B00;98;140;140;117,6;168;;;0,2
GSW02-91AS3;450;600;600;540;720;;;0,15
VSW02-C1AS3;615;820;820;738;984;;;0,15
SKW02-G1B00;112;160;160;134,4;192;;;0,2
SKM70-AUB00;105;150;150;126;180;;;0,2
SKM70-S3B00;105;150;150;126;180;;;0,2
SKM80-AUB00;112;160;160;134,4;192;;;0,2
GSM40-71SS1;825;1100;1100;990;1320;;;0,15
GSM64-8USS2;330;440;440;396;528;;;0,15
GSM64-9USS2;375;500;500;450;600;;;0,15
SKM64-S3B00;77;110;110;92,4;132;;;0,2
VSM40-C1SA1;510;680;680;612;816;;;0,15
VSM40-K1LS1;975;1300;1300;1170;1560;;;0,15
SKM44-S3B00;91;130;130;109,2;156;;;0,2
GSM74-71SS3;825;1100;1100;990;1320;;;0,15
GSM74-81SS2;345;460;460;414;552;;;0,15
GSM74-91SS2;390;520;520;468;624;;;0,15
VSM74-C1SA3;502,5;670;670;603;804;;;0,15
SKM74-S3B00;98;140;140;117,6;168;;;0,2
GSMD0-9USS2;390;520;520;468;624;;;0,15
VSMD0-CUSA3;502,5;670;670;603;804;;;0,15
GSMD0-71SS3;825;1100;1100;990;1320;;;0,15
VSMC6-K1LS3;975;1300;1300;1170;1560;;;0,15
GSMD0-8USS2;345;460;460;414;552;;;0,15
SKMD0-AUB00;98;140;140;117,6;168;;;0,2
SKMD0-S3B00;98;140;140;117,6;168;;;0,2
SKMD6-AUB00;98;140;140;117,6;168;;;0,2
SKMD6-S3B00;98;140;140;117,6;168;;;0,2
SKM62-S3B00;98;140;140;117,6;168;;;0,2
GSM32-71SS3;825;1100;1100;990;1320;;;0,15
VSM32-C1SA3;502,5;670;670;603;804;;;0,15
GSM32-9USS2;390;520;520;468;624;;;0,15
SKM50-S3B00;119;170;170;142,8;204;;;0,2
GSM56-71SS3;825;1100;1100;990;1320;;;0,15
GSM56-81SS2;330;440;440;396;528;;;0,15
VSM56-K1LS3;975;1300;1300;1170;1560;;;0,15
VSM58-C1SA3;510;680;680;612;816;;;0,15
SKM58-AVB00;91;130;130;109,2;156;;;0,2
VSAAA-B1DS3;336;560;560;403,2;672;;;0,3
VSMB2-A1DS2;228;380;380;273,6;456;;;0,3
VSMB2-B1DS3;336;560;560;403,2;672;;;0,3
VSM90-A1DS2;228;380;380;273,6;456;;;0,3
VSM24-A1DS2;228;380;380;273,6;456;;;0,3
VSM24-B1DS3;324;540;540;388,8;648;;;0,3
VSM98-A1DS2;228;380;380;273,6;456;;;0,3
VSM98-B1DS3;324;540;540;388,8;648;;;0,3
VSMA8-B1DS3;336;560;560;403,2;672;;;0,3
VSM68-A1DS2;210;350;350;252;420;;;0,3
VSM94-A1DS2;210;350;350;252;420;;;0,3
VSM94-B1DS2;252;420;420;302,4;504;;;0,3
VSMB0-B1DS3;336;560;560;403,2;672;;;0,3
VSM64-A1DS2;216;360;360;259,2;432;;;0,3
VSM64-B1DS2;252;420;420;302,4;504;;;0,3
VSM44-A1DS2;216;360;360;259,2;432;;;0,3
VSM44-B1DS2;252;420;420;302,4;504;;;0,3
VSM74-A1DS2;216;360;360;259,2;432;;;0,3
VSM74-B1DS2;252;420;420;302,4;504;;;0,3
VSM56-A1DS2;216;360;360;259,2;432;;;0,3
VSM56-B1DS2;252;420;420;302,4;504;;;0,3
VSGJ4-A1DS2;240;400;400;288;480;;;0,3
VSGJ4-B1DS2;276;460;460;331,2;552;;;0,3
VSGN0-A1DS2;240;400;400;288;480;;;0,3
VSGN0-B1DS2;276;460;460;331,2;552;;;0,3
VSGG4-A1DS2;270;450;450;324;540;;;0,3
VSGG4-B1DS2;306;510;510;367,2;612;;;0,3
VSGF2-A1DS2;240;400;400;288;480;;;0,3
VSGF2-B1DS3;330;550;550;396;660;;;0,3
VSGM8-A1DS2;270;450;450;324;540;;;0,3
VSGM8-B1DS2;306;510;510;367,2;612;;;0,3
VSGG2-A1DS2;240;400;400;288;480;;;0,3
VSGG2-B1DS3;330;550;550;396;660;;;0,3
VSGK2-A1DS2;270;450;450;324;540;;;0,3
VSGS2-A1DS2;240;400;400;288;480;;;0,3
VSGJ2-B1DS2;336;560;560;403,2;672;;;0,3
VSGR2-B1DS2;336;560;560;403,2;672;;;0,3
GSGN0-91AA2;375;500;500;450;600;;;0,15
SKG00-S3B00;112;160;160;134,4;192;;;0,2
GSGF2-91AS3;495;660;660;594;792;;;0,15
SKGF2-S3B00;112;160;160;134,4;192;;;0,2
SKGF2-S5B00;112;160;160;134,4;192;;;0,2
VSGF2-C1AS3;615;820;820;738;984;;;0,15
GSGG2-91AS3;495;660;660;594;792;;;0,15
SKGG2-S3B00;126;180;180;151,2;216;;;0,2
SKGG2-S5B00;126;180;180;151,2;216;;;0,2
VSGG2-C1AA3;615;820;820;738;984;;;0,15
VSAMS-B1DS2;306;510;510;367,2;612;;;0,3
VSAJJ-B1DS2;306;510;510;367,2;612;;;0,3
SKGH2-S3B00;119;170;170;142,8;204;;;0,2
GSGH2-91AS3;450;600;600;540;720;;;0,15
SKGH2-S5B00;119;170;170;142,8;204;;;0,2
GSG74-91SS2;420;560;560;504;672;;;0,15
SKG74-AUB00;84;120;120;100,8;144;;;0,2
SKG74-S3B00;84;120;120;100,8;144;;;0,2
SKG74-S5B00;115,5;165;165;138,6;198;;;0,2
GSV70-91SS2;420;560;560;504;672;;;0,15
SKV70-S3B00;129,5;185;185;155,4;222;;;0,2
SKV70-S5B00;129,5;185;185;155,4;222;;;0,2
VSF68-G1AS2;450;600;600;540;720;;;0,15
VSF68-A1DS2;240;400;400;288;480;;;0,3
VSGH2-A1DS2;228;380;380;273,6;456;;;0,3
VSGH2-B1DS3;318;530;530;381,6;636;;;0,3
VSG74-A1DS2;240;400;400;288;480;;;0,3
