"Manufacturer,""Price"",""Reference"",""Name"",""Category"""
"Racingline,""102.38"",""VWR620005MM"",""Racingline Brake Kit 5mm Hub Adaptor (5x112 PCD Only - Stage 2 & 3)"",""Big Brake Kits"""
"Racingline,""136.50"",""VWR670004"",""Racingline RP700 Performance Brake Pads / 312mm Smaller Front (Non Performance Pack, eg Golf 7 GTI)"",""Braking Upgrades"""
"Racingline,""85.31"",""VWR670005"",""Racingline RP700 Performance Brake Pads / 300mm Smaller Rear non-vented (Non Performance Pack, eg Golf 7 GTI)"",""Braking Upgrades"""
"Racingline,""170.63"",""VWR670006"",""Racingline RP700 Performance Brake Pads / 340mm Larger Front (Performance Pack, eg Golf R, S3)"",""Braking Upgrades"""
"Racingline,""85.31"",""VWR670007"",""Racingline RP700 Performance Brake Pads / 310mm Larger Rear vented (Performance Pack eg Golf R, S3)"",""Braking Upgrades"""
"Racingline,""85.31"",""VWR670008"",""Racingline RP700 Performance Brake Pads / 310mm Larger Rear vented MANUAL HANDBRAKE (Performance Pack eg Golf R, S3)"",""Braking Upgrades"""
"Racingline,""249.99"",""VWR682000"",""Racingline Stage 2 Performance Rear Discs / Rotors 310mm (Pair)"",""Braking Upgrades"""
"Racingline,""5210.63"",""VWR680020"",""Racingline Stage 3+ Performance Rear Carbon Discs and Pads / Pads and Rotors 310mm  "",""Braking Upgrades"""
"Racingline,""5419.05"",""VWR680012"",""Racingline Stage 3+ 355mm Carbon Brake Kit Replacement Rotors/Discs *requires carbon spec pads (VWR6700CARBON)"",""Braking Upgrades"""
"Racingline,""5419.05"",""VWR680013"",""Racingline Stage 3+ 380mm Carbon Brake Kit Replacement Rotors/Discs *requires carbon spec pads (VWR6700CARBON)"",""Braking Upgrades"""
"Racingline,""88.73"",""VWR69G7FR"",""Racingline Uprated Brake Line Kit Front - MQB / MQB EVO"",""Braking Upgrades"""
"Racingline,""88.73"",""VWR69G7RR"",""Racingline Uprated Brake Line Kit Rear - MQB / MQB EVO"",""Braking Upgrades"""
"Racingline,""150.15"",""VWR69G7KIT"",""Racingline Uprated Brake Line Kit Front and Rear - MQB / MQB EVO"",""Braking Upgrades"""
"Racingline,""19.11"",""VWR69000BF1"",""Racingline Brake Fluid RBF312 / 500ml 300 DOT 4"",""Braking Upgrades"""
"Racingline,""249.36"",""VWR650000-PK"",""Racingline Stage 3 Piston Kit (12 pistons)"",""Brake System Parts"""
"Racingline,""203.39"",""VWR670000"",""Racingline Stage 3 Brake Kit / Replacement Brake Pads / SPORT "",""Brake System Parts"""
"Racingline,""361.73"",""VWR6700TRACK"",""Racingline Stage 3 Brake Kit / Replacement Brake Pads Ferrodo DS2500 / TRACK "",""Brake System Parts"""
"Racingline,""197.93"",""VWR670001"",""Racingline Stage 2 (Gen 1) Big Brake Kit Replacement Pads / SPORT"",""Brake System Parts"""
"Racingline,""293.48"",""VWR670002"",""Racingline Stage 2 (Gen 1) Big Brake Kit Replacement Pads / SPORT PLUS"",""Brake System Parts"""
"Racingline,""354.90"",""VWR670003"",""Racingline Stage 2 (Gen 1) Big Brake Kit Replacement Pads / TRACK"",""Brake System Parts"""
"Racingline,""189.74"",""VWR670009"",""Racingline Stage 2 Evo Brake Kit / Replacement Brake Pads / SPORT"",""Brake System Parts"""
"Racingline,""425.00"",""VWR6700CARBON"",""Racingline Stage 3+ Brake Kit / Replacement Pads / CERAMIC ROTOR"",""Brake System Parts"""
"Racingline,""546.00"",""VWR680000"",""Racingline Previous 6 Pot Kit / Brake Kit 352mm Replacement Rotors (discs) / 2013-2016 brake kits"",""Brake System Parts"""
"Racingline,""546.00"",""VWR680001"",""Racingline Previous 6 Pot Kit / Brake Kit 360mm Replacement Rotors (discs) / 2016-2018 brake kits"",""Brake System Parts"""
"Racingline,""511.88"",""VWR680002"",""Racingline Stage 2 Brake Kit / 345mm Replacement Rotors/Discs / (Fits Gen 1 kit and Evo kit)"",""Brake System Parts"""
"Racingline,""614.25"",""VWR680003"",""Racingline Stage 3 Brake Kit / 355mm Replacement Rotors/Discs"",""Brake System Parts"""
"Racingline,""682.50"",""VWR680004"",""Racingline Stage 3 Brake Kit / 380mm Replacement Rotors/Discs"",""Brake System Parts"""
"Racingline,""255.26"",""VWR680005"",""Racingline Stage 3 Brake Kit / 355mm Rotor Fitting Kit (20 pieces)"",""Brake System Parts"""
"Racingline,""40.95"",""VWR680006"",""Racingline Stage 3 Brake Kit / Piston Seal Kit"",""Brake System Parts"""
"Racingline,""40.95"",""VWR680007"",""Racingline Stage 3 Brake Kit / Piston Dust Seal Kit "",""Brake System Parts"""
"Racingline,""273.00"",""VWR680008"",""Racingline Stage 3 Brake Kit / 380mm Rotor Fitting Kit / 24 pieces"",""Brake System Parts"""
"Racingline,""409.50"",""VWR680011"",""Racingline Stage 3 Brake Kit / 380mm Rotor Bell Only / Pair"",""Brake System Parts"""
"Racingline,""511.88"",""VWR680014"",""Racingline Stage 2 330mm Replacement Discs Pair"",""Brake System Parts"""
"Racingline,""30.03"",""VWR680015"",""Racingline Stage 2 Brake Kit / Piston Seal Kit"",""Brake System Parts"""
"Racingline,""30.03"",""VWR680016"",""Racingline Stage 2 Brake kit / Piston Dust Seal Kit"",""Brake System Parts"""
"Racingline,""75.08"",""VWR1130RS"",""Racingline High-Flow Panel Air Filter / Audi TTRS & RS3 8V FL plus 2.0 BiTDI 240ps Passat / Arteon / Kodiaq / Tiguan"",""Panel Filters"""
"Racingline,""107.84"",""VWR1140S4"",""Racingline High-Flow Panel Air Filter / Audi S4/S5 B8 & B8.5 3.0 Supercharged"",""Panel Filters"""
"Racingline,""136.50"",""VWR1141S4"",""Racingline High-Flow Panel Air Filter / Audi S4/S5 B9 3.0 TSI"",""Panel Filters"""
"Racingline,""252.53"",""VWR119052"",""Racingline High-Flow Panel Air Filter / Pair Audi R8/R8 Spyder V10 5.2"",""Panel Filters"""
"Racingline,""252.53"",""VWR119042"",""Racingline High-Flow Panel Air Filter / Pair Audi R8/R8 Spyder V8 4.2"",""Panel Filters"""
"Racingline,""75.08"",""VWR11A001"",""Racingline High-Flow Panel Air Filter / Amarok All"",""Panel Filters"""
"Racingline,""68.25"",""VWR11G501"",""Racingline High-Flow Panel Air Filter / Golf 5, Golf 6, Scirocco, Audi A3 8P / 2.0 TSI, TDI and 1.4 TSI (170PS)"",""Panel Filters"""
"Racingline,""68.25"",""VWR11G502"",""Racingline High-Flow Panel Air Filter / Golf 5 GTI, Golf 6 R, Scirocco R / 2.0 TFSI EA113"",""Panel Filters"""
"Racingline,""68.25"",""VWR11G503"",""Racingline High-Flow Panel Air Filter / Golf 5 R32, TTS mk2 , TTRS mk2"",""Panel Filters"""
"Racingline,""81.90"",""VWR11G701"",""Racingline High-Flow Panel Air Filter / MQB/MQBE 1.8 2.0 TSI"",""Panel Filters"""
"Racingline,""88.73"",""VWR11G714"",""Racingline High-Flow Panel Air Filter / Golf 7 / A3 8V / Leon III 5F / Octavia III 5E / 1.2 & 1.4 TSI:"",""Panel Filters"""
"Racingline,""88.73"",""VWR11G815"",""Racingline High-Flow Panel Air Filter / Golf 8 / 1.5 TSI"",""Panel Filters"""
"Racingline,""101.01"",""VWR11P0GT"",""Racingline High-Flow Panel Air Filter / Polo GTI 1.4 TSI (6R) / Ibiza Cupra 1.4 TSI"",""Panel Filters"""
"Racingline,""88.73"",""VWR11P1GT"",""Racingline High-Flow Panel Air Filter / Polo GTI 1.8 TSI (6C) / Audi S1 / Ibiza Cupra 1.8 TSI"",""Panel Filters"""
"Racingline,""75.08"",""VWR11TR20"",""Racingline High-Flow Panel Air Filter / Transporter T5 & T6 / 2.0 TDI"",""Panel Filters"""
"Racingline,""84.63"",""VWR11UPGT"",""Racingline High-Flow Panel Air Filter / Polo / Ibiza / Golf / UP! / 1.0 TSI"",""Panel Filters"""
"Racingline,""517.34"",""VWR121020"",""Racingline Intake System / TriFoam Air Filter / Audi TT II:  2.0 TFSI"",""Intakes Systems """
"Racingline,""517.34"",""VWR121020ML"",""Racingline Intake System / TriFoam Air Filter / Audi TT II:  2.0 TFSI  NO MAF EA888.2"",""Intakes Systems """
"Racingline,""530.99"",""VWR121101"",""Racingline Intake System / TriFoam Air Filter / 1.0 WLTP Intake System "",""Intakes Systems """
"Racingline,""530.99"",""VWR1230S3"",""Racingline Intake System / TriFoam Air Filter / Audi S3 8P / 2.0 TFSI EA113 (K04)"",""Intakes Systems """
"Racingline,""551.46"",""VWR1230S3C"",""Racingline Intake System / Cotton Air Filter /  Audi S3 8P / 2.0 TFSI EA113 (K04)"",""Intakes Systems """
"Racingline,""1064.70"",""VWR1241S4"",""Racingline Intake System / TriFoam Air Filter / Audi S4/S5 B9 3.0T"",""Intakes Systems """
"Racingline,""1064.70"",""VWR1241RS"",""Racingline Intake System / TriFoam Air Filter / Audi RS4/RS5 B9 2.9TT"",""Intakes Systems """
"Racingline,""442.26"",""VWR12A1S1"",""Racingline Intake System / TriFoam Air Filter / Audi S1 2.0 TSI EA888.3"",""Intakes Systems """
"Racingline,""469.56"",""VWR12A1S1C"",""Racingline Intake System / Cotton Air Filter /  Audi S1 2.0 TSI EA888.3"",""Intakes Systems """
"Racingline,""339.89"",""VWR12G50D"",""Racingline Intake System / TriFoam Air Filter / Golf 5 2.0 TDI"",""Intakes Systems """
"Racingline,""360.36"",""VWR12G50DC"",""Racingline Intake System / Cotton Air Filter /  Golf 5 2.0 TDI"",""Intakes Systems """
"Racingline,""476.39"",""VWR12G5GT"",""Racingline Intake System / TriFoam Air Filter / Golf 5 GTI /  2.0 TFSI EA113 (K03)"",""Intakes Systems """
"Racingline,""496.86"",""VWR12G5GTC"",""Racingline Intake System / Cotton Air Filter /  Golf 5 GTI / 2.0 TFSI EA113 (K03)"",""Intakes Systems """
"Racingline,""339.89"",""VWR12G60D"",""Racingline Intake System / TriFoam Air Filter / Golf 6, Scirocco, Octavia II 1Z, Passat CC (Requires Adaptor): 2.0 TDI"",""Intakes Systems """
"Racingline,""360.36"",""VWR12G60DC"",""Racingline Intake System / Cotton Air Filter /  Golf 6, Scirocco, Octavia II 1Z, Passat CC (Requires Adaptor): 2.0 TDI"",""Intakes Systems """
"Racingline,""503.69"",""VWR12G60R"",""Racingline Intake System / TriFoam Air Filter / Golf R, Golf GTI Ed30, Scirocco R / 2.0 TFSI EA113 (K04)"",""Intakes Systems """
"Racingline,""524.16"",""VWR12G60RC"",""Racingline Intake System / Cotton Air Filter /  Golf R, Golf GTI Ed30, Scirocco R / 2.0 TFSI EA113 (K04)"",""Intakes Systems """
