"Manufacturer","Price","Reference","Name","EAN13","Category","Weight","Height","Width","Length"
"Mishimoto","16.00","MMAPL-MRGLNLG","Mishimoto Athletic Script Raglan, Large","748354035933","Apparel, Gifts & Promo","0.25","1","6","3"
"Mishimoto","16.00","MMAPL-MRGLNMD","Mishimoto Athletic Script Raglan, Medium","748354035926","Apparel, Gifts & Promo","0.25","1","6","3"
"Mishimoto","16.00","MMAPL-MRGLNSM","Mishimoto Athletic Script Raglan, Small","748354035919","Apparel, Gifts & Promo","0.25","1","6","3"
"Mishimoto","16.00","MMAPL-MRGLNXL","Mishimoto Athletic Script Raglan, XL","748354035940","Apparel, Gifts & Promo","0.25","1","6","3"
"Mishimoto","18.00","MMAPL-OMB-TBKL","Mishimoto Ombre Banner Logo T-Shirt, Black, Large","840197706640","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","18.00","MMAPL-OMB-TBKM","Mishimoto Ombre Banner Logo T-Shirt, Black, Medium","840197706633","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","18.00","MMAPL-OMB-TBKS","Mishimoto Ombre Banner Logo T-Shirt, Black, Small","840197706626","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","18.00","MMAPL-OMB-TBKXL","Mishimoto Ombre Banner Logo T-Shirt, Black, XL","840197706657","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","18.00","MMAPL-OMB-TWHL","Mishimoto Ombre Banner Logo T-Shirt, White, Large","840197706763","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","18.00","MMAPL-OMB-TWHM","Mishimoto Ombre Banner Logo T-Shirt, White, Medium","840197706756","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","18.00","MMAPL-OMB-TWHS","Mishimoto Ombre Banner Logo T-Shirt, White, Small","840197706749","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","18.00","MMAPL-OMB-TWHXL","Mishimoto Ombre Banner Logo T-Shirt, White, XL","840197706770","Apparel, Gifts & Promo","0.54","1","10","9"
"Mishimoto","13.00","MMAPL-PONCHO","Mishimoto Chilly Penguin Poncho","748354033663","Apparel, Gifts & Promo","1.14","3","7","9"
